sku,role,brand,model_name,model_number,cpu,ram_gb,storage_gb,screen_inch,display_type,brightness_nits,form_factor,operating_system,device_type,graphics,touch_screen,screen_resolution,npu_tops,battery_life_hours,weight_lb,usb_ports,thunderbolt_ports,list_price,source_url
6672159,strict,Lenovo,Yoga 7a 2-in-1 14in,83TD0000US,AMD Ryzen AI 5 430,16,512,14,OLED,400,2-in-1,Windows 11 Home,Laptop,AMD Radeon 840M,Yes,1920x1200,50,15,3.04,3,0,1299.99,https://www.bestbuy.com/product/lenovo-yoga-7a-2-in-1-14-2k-oled-touchscreen-laptop-amd-ryzen-ai-5-430-2026-16gb-memory-512gb-ssd-copilot-pc-seashell/JJGH36L8FL/sku/6672159
6668002,strict,HP,OmniBook X Flip 2-in-1 14in,14-KC0013DX,AMD Ryzen AI 5 430,16,512,14,OLED,300,2-in-1,Windows 11 Home,Laptop,AMD Radeon 840M,Yes,1920x1200,50,24.5,3.09,4,0,1299.99,https://www.bestbuy.com/product/hp-omnibook-x-flip-2-in-1-14-2k-oled-touchscreen-laptop-amd-ryzen-ai-5-430-2026-16gb-memory-512gb-ssd-copilot-deep-espresso/JJGWKYZY27/sku/6668002
6667986,reference,HP,OmniBook X Flip 2-in-1 14in,14-KB0013DX,Intel Core Ultra 5 325,16,512,14,OLED,300,2-in-1,Windows 11 Home,Laptop,Intel Graphics,Yes,1920x1200,47,32.5,3.09,2,2,1349.99,https://www.bestbuy.com/product/hp-omnibook-x-flip-2-in-1-14-2k-oled-touchscreen-laptop-intel-core-ultra-5-2026-16gb-memory-512gb-ssd-copilot-meteor-silver/JJGWKYZYCS/sku/6667986
6679150,reference,Dell,14S 14in,LDS14265-A861BLU-PUS,AMD Ryzen AI 5 430,16,512,14,LED,400,clamshell,Windows 11 Home,Laptop,AMD Radeon,Yes,1920x1200,50,,3.33,4,,1299.99,https://www.bestbuy.com/product/dell-14s-14-2k-touchscreen-laptop-amd-ryzen-ai-5-430-2026-16gb-memory-512gb-storage-copilot-pc-celestial-blue/J3K4L6QKRS/sku/6679150
