sku,captured_at_local,price,regular_price,savings,availability,seller,stock_hint,note
6672159,2026-09-12T15:07,1299.99,,,Add to cart,Best Buy,Act fast - Only 1 left at your store!,Pickup ready today; shipping unavailable; badge Gaming PC; 4.7 (95)
6668002,2026-09-12T15:07,1299.99,,,Add to cart,Best Buy,,Pickup ready today; shipping unavailable; badge Premium performance PC; 4.1 (196)
6667986,2026-09-12T15:07,1349.99,,,Add to cart,Best Buy,Act fast - Only 2 left at nearby store!,Pickup ready Fri Sep 18; shipping unavailable; 4.8 (5)
6679150,2026-09-12T15:07,999.99,1299.99,300.00,Add to cart,Best Buy,Act fast - Only 1 left at your store!,DEAL ENDS SEP 14 2026 (stated on page); pickup ready today; 5.0 (6)
